State,City,Bedroom,Bathroom,Area,LotArea,Latitude,Longitude,ListedPrice
269243.76210526313,487932.25209875574,4.0,2.0,1614.0,0.3805,30.819534,-88.09596,239900.0
269243.76210526313,519340.2408208295,3.0,2.0,1800.0,3.2,30.590004,-87.580376,259900.0
269243.76210526313,526986.1122449696,2.0,2.0,1250.0,0.5813278236914601,30.284956,-87.74792,342500.0
269243.76210526313,490256.15291888185,3.0,3.0,2224.0,0.26,33.357986,-86.6087,335000.0
269243.76210526313,383724.11564197246,3.0,2.0,1225.0,3.999641873278237,34.775517,-86.4407,250000.0
269243.76210526313,246603.95267041298,3.0,2.0,1564.0,0.2,32.372746,-86.165115,151000.0
269243.76210526313,485615.3246109244,3.0,2.0,1717.0,0.38,34.210014,-86.13669,239000.0
269243.76210526313,495679.0745633164,3.0,2.0,1674.0,0.3443526170798898,34.2754,-86.21792,249900.0
269243.76210526313,248876.69913145585,3.0,3.0,2190.0,0.3443,30.595074,-88.20307,295000.0
269243.76210526313,375911.7121225911,4.0,3.0,3030.0,0.3399999999999999,34.755985,-86.86592,524900.0
269243.76210526313,383724.11564197246,2.0,3.0,2099.0,1.1376000000000002,34.691204,-86.565834,199000.0
269243.76210526313,248876.69913145585,3.0,2.0,1194.0,0.1971,30.693125,-88.087814,150000.0
269243.76210526313,494836.90093641146,4.0,2.0,2094.0,0.34,32.27287,-84.980064,285000.0
269243.76210526313,482030.69560263795,3.0,1.0,800.0,0.53,32.513927,-87.83505,145000.0
269243.76210526313,469727.5081583985,3.0,3.0,2451.0,0.2583,31.12658,-87.05359,50439.0
269243.76210526313,246603.95267041298,3.0,2.0,2196.0,0.61,32.39595,-86.269714,169000.0
269243.76210526313,479748.6711816891,3.0,1.0,1100.0,1.0,30.774414,-88.257675,160000.0
269243.76210526313,471977.0714724822,5.0,3.0,2285.0,1.1772,30.455751,-88.242485,139900.0
269243.76210526313,473560.63392160676,3.0,2.0,1410.0,0.34,33.524075,-87.00953,79900.0
269243.76210526313,485933.94983352785,3.0,2.0,1783.0,1.0,31.39427,-86.60098,175000.0
269243.76210526313,488329.80074086797,3.0,2.0,2252.0,0.4501,30.481138,-88.352,148000.0
269243.76210526313,248876.69913145585,6.0,4.0,3036.0,0.141,30.702614,-88.08904,164000.0
269243.76210526313,308336.31624912564,3.0,3.0,2760.0,0.35,33.448425,-86.87966,199000.0
269243.76210526313,488471.0650836063,4.0,2.0,1420.0,0.8,34.649124,-85.71751,194500.0
269243.76210526313,308336.31624912564,3.0,2.0,1044.0,0.18,33.506554,-86.89646,69000.0
269243.76210526313,248876.69913145585,3.0,2.0,1823.0,0.2,30.6471,-88.2378,240000.0
269243.76210526313,246603.95267041298,3.0,3.0,3693.0,6.9,32.273514,-86.25934,200000.0
269243.76210526313,420878.3742337891,6.0,4.0,4690.0,1.0,34.50726,-87.7332,215000.0
269243.76210526313,508110.6160492565,4.0,2.0,1558.0,0.49,34.65146,-86.03795,149900.0
269243.76210526313,383724.11564197246,3.0,2.0,1532.0,0.2641873278236915,34.750492,-86.62149,219000.0
269243.76210526313,569655.0626207553,4.0,3.0,2410.0,0.27,30.504227,-87.874535,409800.0
269243.76210526313,464121.56888071686,3.0,2.0,1188.0,0.17,32.472347,-85.009224,150000.0
269243.76210526313,500245.8820134576,3.0,2.0,1679.0,0.15,34.87313,-86.58187,285000.0
269243.76210526313,502866.6046089269,3.0,1.0,1308.0,0.27,34.57727,-86.95213,214900.0
269243.76210526313,486584.49220534286,2.0,2.0,1600.0,4.87,33.78361,-86.630005,180000.0
269243.76210526313,248876.69913145585,3.0,2.0,1296.0,0.1016,30.717815,-88.147285,175000.0
269243.76210526313,494836.90093641146,5.0,4.0,3051.0,0.35,32.27377,-84.99826,312000.0
269243.76210526313,248876.69913145585,4.0,5.0,1598.0,0.426,30.70528,-88.17934,150000.0
269243.76210526313,383724.11564197246,3.0,2.0,1471.0,0.2799999999999999,34.621323,-86.57433,275000.0
269243.76210526313,308336.31624912564,3.0,2.0,1175.0,0.25,33.51739,-86.76976,335000.0
269243.76210526313,480303.983556946,3.0,2.0,1450.0,0.3856749311294766,34.23136,-87.618965,179900.0
269243.76210526313,504719.97813960555,4.0,3.0,1825.0,0.25,32.603745,-85.333275,284900.0
269243.76210526313,418339.3522194309,3.0,1.0,1458.0,0.3537649219467401,31.201424,-85.413605,143000.0
269243.76210526313,460141.34403649875,3.0,2.0,1444.0,0.3837709458218549,33.15471,-87.50979,159900.0
269243.76210526313,418339.3522194309,3.0,2.0,1375.0,0.25,31.2081,-85.44741,199900.0
269243.76210526313,513511.7514850108,3.0,2.0,2666.0,4.8,33.981796,-87.188896,99700.0
269243.76210526313,246603.95267041298,3.0,4.0,2361.0,0.6799999999999999,32.35633,-86.179306,150000.0
269243.76210526313,504719.97813960555,4.0,3.0,2307.0,1.86,32.657303,-85.42706,456789.0
269243.76210526313,308336.31624912564,3.0,2.0,1227.0,0.002,33.527466,-86.71101,295000.0
269243.76210526313,383724.11564197246,4.0,2.0,1999.0,0.29,34.63312,-86.536224,305000.0
269243.76210526313,452161.2903832776,3.0,2.0,1752.0,26.0,30.404478,-87.67821,289900.0
269243.76210526313,494918.64580970595,3.0,3.0,1880.0,0.27,33.22804,-86.83084,279900.0
269243.76210526313,488329.80074086797,3.0,2.0,1900.0,20.0,30.499058,-88.33377,359900.0
269243.76210526313,490256.15291888185,3.0,2.0,1425.0,1.82,33.354427,-86.59509,279000.0
269243.76210526313,375911.7121225911,4.0,3.0,2354.0,0.21,34.69121,-86.78906,365000.0
269243.76210526313,248876.69913145585,4.0,2.0,2077.0,0.0477,30.721144,-88.2097,135000.0
269243.76210526313,248876.69913145585,3.0,1.0,1490.0,0.1576,30.681978,-88.07807,235000.0
269243.76210526313,469024.3469300054,3.0,1.0,2263.0,0.154,32.40969,-87.03237,54900.0
269243.76210526313,491138.2888080478,3.0,3.0,2535.0,0.37,33.622974,-86.81058,215000.0
269243.76210526313,495694.8240986489,3.0,2.0,1273.0,0.2,33.642292,-86.48792,221900.0
269243.76210526313,248876.69913145585,3.0,1.0,1000.0,0.0767,30.66862,-88.09325,79000.0
269243.76210526313,383724.11564197246,4.0,3.0,2875.0,0.4599999999999999,34.660194,-86.5568,399900.0
269243.76210526313,494918.64580970595,3.0,2.0,1808.0,0.47,33.257935,-86.80834,240000.0
269243.76210526313,492439.37355167774,3.0,2.0,1592.0,0.18,33.317497,-87.891014,225000.0
269243.76210526313,480303.983556946,3.0,2.0,1688.0,0.42,34.243496,-87.60556,149900.0
269243.76210526313,480729.6108590079,3.0,2.0,1976.0,0.5599999999999999,34.97667,-86.65006,135000.0
269243.76210526313,375911.7121225911,4.0,4.0,3263.0,0.3299999999999999,34.700115,-86.793274,575000.0
269243.76210526313,383724.11564197246,3.0,2.0,1798.0,0.1912304866850321,34.76469,-86.64163,225000.0
269243.76210526313,248876.69913145585,3.0,2.0,2455.0,0.1739,30.685225,-88.0755,489000.0
269243.76210526313,481588.9300344136,3.0,2.0,1859.0,3.0,30.810877,-87.80625,209900.0
269243.76210526313,484367.15351274627,3.0,3.0,2542.0,1.43,34.057,-86.01735,349900.0
269243.76210526313,493132.6341783231,4.0,3.0,3556.0,2.0,33.118427,-87.47632,179900.0
269243.76210526313,504719.97813960555,4.0,3.0,2499.0,0.42,32.601738,-85.4107,373000.0
269243.76210526313,470971.4752817831,2.0,1.0,1851.0,5.72,31.474384,-85.850395,60000.0
269243.76210526313,308336.31624912564,2.0,2.0,778.0,0.0,33.498814,-86.82817,133000.0
269243.76210526313,383724.11564197246,3.0,2.0,1320.0,1.0,34.7451,-86.612724,179000.0
269243.76210526313,474861.7186652367,5.0,1.0,3459.0,3.7,34.736748,-87.89004,89900.0
269243.76210526313,308336.31624912564,3.0,2.0,1444.0,0.16,33.490116,-86.890594,178000.0
269243.76210526313,248876.69913145585,4.0,3.0,2954.0,0.4635,30.64961,-88.21921,249900.0
269243.76210526313,248876.69913145585,5.0,4.0,1505.0,0.1836,30.6478,-88.08221,129900.0
269243.76210526313,452161.2903832776,4.0,2.0,2494.0,0.92,30.336601,-87.695,229900.0
269243.76210526313,248876.69913145585,4.0,2.0,1034.0,0.1825,30.71276,-88.191345,122000.0
269243.76210526313,418339.3522194309,3.0,2.0,1664.0,0.0,31.240427,-85.43404,175000.0
269243.76210526313,487052.45722317585,4.0,2.0,2349.0,0.29216475665748387,33.303703,-87.594124,329900.0
269243.76210526313,348494.2285740387,4.0,2.0,2295.0,0.86,32.484257,-88.31267,139900.0
269243.76210526313,488329.80074086797,3.0,2.0,1874.0,20.0,30.441343,-88.31281,359900.0
269243.76210526313,418339.3522194309,5.0,3.0,2472.0,0.4579889807162534,31.257858,-85.4552,269000.0
269243.76210526313,487755.46847460984,3.0,2.0,1860.0,0.4549999999999999,30.347391,-87.501076,189000.0
269243.76210526313,878131.4552569306,3.0,2.0,2190.0,0.4,33.27857,-86.830025,274800.0
269243.76210526313,504719.97813960555,4.0,3.0,2508.0,0.2,32.615627,-85.38071,355000.0
269243.76210526313,526986.1122449696,3.0,3.0,1265.0,0.1435,30.232487,-87.977135,422000.0
269243.76210526313,248876.69913145585,3.0,3.0,1888.0,0.4006999999999999,30.635536,-88.270996,249900.0
269243.76210526313,490256.15291888185,3.0,2.0,1914.0,0.21,33.360428,-86.623604,329500.0
269243.76210526313,248876.69913145585,4.0,2.0,1807.0,0.3432,30.582676,-88.18447,249900.0
269243.76210526313,481588.9300344136,3.0,2.0,1439.0,0.3299999999999999,30.86652,-87.78434,159900.0
269243.76210526313,375911.7121225911,5.0,5.0,3923.0,0.4,34.700047,-86.76704,674900.0
269243.76210526313,452161.2903832776,3.0,2.0,1361.0,0.2329999999999999,30.404423,-87.67775,240000.0
269243.76210526313,466196.9331227924,3.0,2.0,1450.0,0.42,32.461464,-86.43951,170000.0
269243.76210526313,246603.95267041298,4.0,3.0,2238.0,0.1721763085399449,32.38716,-86.27291,159900.0
269243.76210526313,246603.95267041298,3.0,2.0,1176.0,0.1699999999999999,32.3066,-86.33512,85000.0
269243.76210526313,425479.17227466294,2.0,2.0,1927.0,0.23151612488521578,34.797318,-86.92516,268000.0
269243.76210526313,248876.69913145585,3.0,2.0,1319.0,0.2307999999999999,30.637695,-88.179756,164900.0
269243.76210526313,496630.1900206027,4.0,3.0,2430.0,0.02,33.768818,-86.62087,240000.0
269243.76210526313,483143.88036958786,3.0,2.0,1840.0,1.9175999999999997,31.507168,-87.31117,165000.0
269243.76210526313,485615.3246109244,2.0,2.0,1300.0,0.184,34.201015,-86.16064,249900.0
269243.76210526313,520903.20710259327,3.0,1.0,1025.0,1.4,31.317612,-85.91449,104900.0
269243.76210526313,383724.11564197246,4.0,4.0,3510.0,0.48,34.79965,-86.48301,600000.0
269243.76210526313,308336.31624912564,3.0,1.0,1438.0,0.16,33.553673,-86.715324,175000.0
269243.76210526313,571837.7826316517,2.0,3.0,2160.0,11.24,34.037712,-85.610985,430000.0
269243.76210526313,549164.1758422384,5.0,2.0,3078.0,0.71,31.430414,-86.95541,93000.0
269243.76210526313,383724.11564197246,5.0,4.0,3320.0,0.45,34.721184,-86.550224,310000.0
269243.76210526313,308336.31624912564,4.0,4.0,3240.0,0.4,33.397533,-86.63604,789900.0
269243.76210526313,505320.1125136145,3.0,3.0,2274.0,0.49,33.141056,-86.77153,324000.0
269243.76210526313,452161.2903832776,3.0,2.0,1730.0,0.222,30.365225,-87.71655,299000.0
269243.76210526313,437656.2329929074,3.0,2.0,1700.0,0.3,32.579987,-85.47276,369900.0
269243.76210526313,425479.17227466294,3.0,2.0,1489.0,0.294,34.822567,-86.83447,272900.0
269243.76210526313,452161.2903832776,3.0,2.0,1088.0,0.3299999999999999,30.405363,-87.77882,250000.0
269243.76210526313,493857.55592223443,3.0,2.0,1428.0,0.173,30.63612,-87.78366,235900.0
269243.76210526313,494918.64580970595,5.0,3.0,2660.0,0.61,33.203835,-86.80198,439000.0
269243.76210526313,484367.15351274627,4.0,2.0,2163.0,1.09,33.93738,-85.96582,409900.0
269243.76210526313,526986.1122449696,4.0,4.0,2839.0,0.7651482093663912,30.260681,-87.70223,650000.0
269243.76210526313,502359.5052822172,4.0,2.0,1731.0,0.161,30.579481,-87.84395,299999.0
269243.76210526313,248876.69913145585,4.0,3.0,1792.0,0.7467,30.675133,-88.23147,160000.0
269243.76210526313,248876.69913145585,3.0,2.0,1222.0,0.2289,30.712626,-88.19037,110000.0
269243.76210526313,520903.20710259327,3.0,2.0,1336.0,0.4599999999999999,31.295835,-85.833595,167500.0
269243.76210526313,480574.09324281476,2.0,1.0,864.0,0.0,33.471996,-86.786545,190000.0
269243.76210526313,483068.283783245,3.0,2.0,1341.0,0.22,34.17533,-86.83396,265000.0
269243.76210526313,569655.0626207553,3.0,2.0,1755.0,1.0,30.470724,-87.81819,299500.0
269243.76210526313,452161.2903832776,4.0,2.0,2047.0,0.24,30.434465,-87.752716,299900.0
269243.76210526313,248876.69913145585,4.0,1.0,1817.0,0.246,30.631083,-88.10963,134900.0
269243.76210526313,246603.95267041298,3.0,1.0,1813.0,0.2118999999999999,32.323402,-86.29356,127999.0
269243.76210526313,437656.2329929074,3.0,2.0,1693.0,0.25,32.575935,-85.49536,397500.0
269243.76210526313,248876.69913145585,3.0,2.0,1535.0,2.096955482093664,30.61962,-88.267395,279950.0
269243.76210526313,491794.2128296982,3.0,2.0,1500.0,0.7508,30.56557,-88.228935,142000.0
269243.76210526313,248876.69913145585,3.0,2.0,1660.0,1.0,30.680765,-88.10756,130000.0
269243.76210526313,248876.69913145585,4.0,2.0,1267.0,0.1966,30.711075,-88.19744,169000.0
269243.76210526313,460141.34403649875,4.0,3.0,2600.0,0.47,33.178677,-87.47292,319900.0
269243.76210526313,248876.69913145585,3.0,2.0,1515.0,0.2365,30.714804,-88.147964,227900.0
269243.76210526313,502359.5052822172,3.0,2.0,1704.0,0.24,30.65488,-87.892334,225000.0
269243.76210526313,308336.31624912564,4.0,3.0,5470.0,0.36,33.57317,-86.68901,200000.0
269243.76210526313,490240.65065322514,3.0,2.0,1433.0,5.45,31.079906,-86.42805,194900.0
269243.76210526313,280340.5600706786,5.0,3.0,3656.0,1.746697337006428,32.628574,-87.319466,210000.0
269243.76210526313,418339.3522194309,2.0,2.0,1476.0,0.2,31.26417,-85.422714,166900.0
269243.76210526313,502359.5052822172,4.0,3.0,2807.0,0.345,30.626759,-87.87644,640000.0
269243.76210526313,459740.69750268874,8.0,4.0,3150.0,1.9,31.442524,-85.60594,199000.0
269243.76210526313,308336.31624912564,4.0,3.0,4110.0,1.09,33.588623,-86.73935,139900.0
269243.76210526313,437656.2329929074,3.0,2.0,1560.0,0.48,32.606426,-85.45639,312000.0
269243.76210526313,451975.86401510466,3.0,2.0,1750.0,4.0,31.094666,-88.004585,170000.0
269243.76210526313,466196.9331227924,3.0,2.0,1522.0,0.13,32.428448,-86.45171,226500.0
269243.76210526313,246603.95267041298,3.0,2.0,1862.0,0.8699999999999999,32.371876,-86.24128,169900.0
269243.76210526313,488536.11932078784,3.0,3.0,2128.0,1.12,31.333715,-85.39057,195000.0
269243.76210526313,494148.6474912336,3.0,2.0,1372.0,0.35,33.665035,-86.5084,230000.0
269243.76210526313,474511.02946505137,3.0,2.0,1568.0,0.49,31.332989,-85.599846,139391.0
269243.76210526313,498879.74303264613,3.0,2.0,1642.0,2.7,33.748173,-86.981186,274500.0
269243.76210526313,425479.17227466294,2.0,2.0,1200.0,0.45,34.75263,-86.95664,225000.0
269243.76210526313,308336.31624912564,4.0,3.0,2504.0,0.67,33.41161,-86.79205,375000.0
269243.76210526313,502359.5052822172,5.0,2.0,1925.0,0.11,30.637468,-87.89588,295000.0
269243.76210526313,466616.09700564964,3.0,1.0,1000.0,0.50114,34.00362,-86.12681,125000.0
269243.76210526313,462586.78555087507,3.0,1.0,1245.0,0.1506,30.740385,-88.093895,50000.0
269243.76210526313,248876.69913145585,4.0,3.0,2238.0,0.2969,30.68334,-88.198875,200000.0
269243.76210526313,490452.50167635916,3.0,2.0,1272.0,1.2,34.12248,-87.05896,250000.0
269243.76210526313,488329.80074086797,3.0,2.0,1293.0,0.4659999999999999,30.476803,-88.33238,195000.0
269243.76210526313,460141.34403649875,3.0,3.0,1205.0,1.5,33.056057,-87.570274,189000.0
269243.76210526313,580429.9516204682,3.0,4.0,1507.0,0.039,30.265562,-87.61141,869900.0
269243.76210526313,491794.2128296982,4.0,2.0,2156.0,2.2311,30.50111,-88.165405,449999.0
269243.76210526313,383724.11564197246,3.0,2.0,1634.0,1.7,34.822517,-86.58565,250000.0
269243.76210526313,437196.8288219343,4.0,3.0,1976.0,0.73,32.667465,-85.18102,158000.0
269243.76210526313,487872.5661015365,3.0,2.0,1382.0,1.0,34.515076,-85.67819,189900.0
269243.76210526313,526986.1122449696,3.0,2.0,1279.0,0.1399999999999999,30.251629,-87.69282,599000.0
269243.76210526313,246603.95267041298,5.0,4.0,4567.0,0.8300000000000001,32.356705,-86.30008,299000.0
269243.76210526313,308336.31624912564,2.0,2.0,1566.0,0.0,33.50458,-86.78514,335900.0
269243.76210526313,491330.5394190152,3.0,2.0,2000.0,0.4655,30.877403,-88.30783,99900.0
269243.76210526313,383724.11564197246,3.0,3.0,2519.0,0.1399999999999999,34.660786,-86.73575,375000.0
269243.76210526313,308336.31624912564,4.0,1.0,1325.0,0.27,33.56158,-86.72133,150000.0
269243.76210526313,308336.31624912564,4.0,2.0,2354.0,0.35,33.633404,-86.66044,229900.0
269243.76210526313,502359.5052822172,3.0,2.0,1885.0,0.232,30.599081,-87.86608,349900.0
269243.76210526313,248876.69913145585,3.0,2.0,1224.0,0.1541,30.620256,-88.145485,180000.0
269243.76210526313,452161.2903832776,3.0,2.0,1743.0,0.144,30.419397,-87.69455,349000.0
269243.76210526313,484367.15351274627,4.0,2.0,1295.0,0.1721763085399449,34.023613,-86.0518,130000.0
269243.76210526313,520903.20710259327,3.0,1.0,1242.0,0.3399999999999999,31.30808,-85.871994,135000.0
269243.76210526313,512606.1870779424,4.0,3.0,3202.0,3.57,32.53193,-86.11993,380000.0
269243.76210526313,526986.1122449696,2.0,3.0,1710.0,0.6632313131313131,30.245024,-87.71913,539000.0
269243.76210526313,466196.9331227924,4.0,2.0,1703.0,0.3299999999999999,32.45789,-86.44706,184900.0
269243.76210526313,580429.9516204682,1.0,1.0,685.0,0.0001,30.262003,-87.61198,539000.0
269243.76210526313,475525.27188448806,2.0,2.0,2256.0,1.8,33.800705,-86.89107,95000.0
269243.76210526313,246603.95267041298,3.0,2.0,1428.0,0.26,32.337,-86.29974,129900.0
269243.76210526313,437656.2329929074,3.0,2.0,1471.0,0.37,32.595737,-85.55934,295000.0
269243.76210526313,308336.31624912564,1.0,1.0,741.0,0.0,33.66169,-86.67905,59900.0
269243.76210526313,461594.9956748293,3.0,2.0,1920.0,3.0,31.705172,-85.99862,285000.0
269243.76210526313,510783.0448463777,3.0,3.0,2517.0,0.88,33.338062,-86.79956,275000.0
269243.76210526313,308336.31624912564,3.0,1.0,1136.0,0.76,33.588055,-86.717026,159900.0
269243.76210526313,425479.17227466294,3.0,1.0,1218.0,0.5,34.83629,-87.036156,180000.0
269243.76210526313,418339.3522194309,2.0,2.0,1773.0,0.65,31.256407,-85.43638,189990.0
269243.76210526313,493076.9050760564,3.0,2.0,1292.0,0.55,33.067043,-87.694695,229900.0
269243.76210526313,526986.1122449696,3.0,2.0,1728.0,0.19,30.295889,-87.66739,329900.0
269243.76210526313,493132.6341783231,3.0,2.0,1224.0,1.1555399999999998,33.10935,-87.46574,199000.0
269243.76210526313,246603.95267041298,3.0,1.0,1050.0,0.16,32.40325,-86.28537,69000.0
269243.76210526313,460141.34403649875,4.0,2.0,1791.0,0.29,33.141556,-87.568474,258000.0
269243.76210526313,464121.56888071686,4.0,3.0,2453.0,0.17,32.44735,-84.99815,265000.0
269243.76210526313,471977.0714724822,3.0,2.0,1505.0,0.8023,30.467716,-88.23551,199220.0
269243.76210526313,466196.9331227924,4.0,5.0,2924.0,10.0,32.446907,-86.55534,409000.0
269243.76210526313,482616.15591482393,3.0,1.0,1100.0,0.65,34.797276,-87.50192,179900.0
269243.76210526313,478545.03035217995,3.0,2.0,1640.0,0.36,32.53751,-85.8778,205000.0
269243.76210526313,246603.95267041298,4.0,2.0,1488.0,0.2799999999999999,32.408894,-86.201035,183000.0
269243.76210526313,308336.31624912564,4.0,3.0,2592.0,0.44,33.497654,-86.71149,599500.0
269243.76210526313,1679795.2535673128,3.0,2.0,1060.0,0.79,31.542847,-87.88674,119900.0
269243.76210526313,580429.9516204682,3.0,2.0,1524.0,0.2659999999999999,30.282024,-87.53777,599000.0
269243.76210526313,878131.4552569306,3.0,2.0,1262.0,0.17,33.269222,-86.84463,225000.0
269243.76210526313,452161.2903832776,3.0,2.0,1528.0,0.295,30.396852,-87.67533,279000.0
269243.76210526313,248876.69913145585,4.0,2.0,2600.0,0.4337,30.62461,-88.09249,250000.0
269243.76210526313,483068.283783245,4.0,2.0,1600.0,4.8,34.148727,-86.77304,150000.0
269243.76210526313,506576.26108276006,4.0,3.0,2802.0,0.42,30.682983,-87.90636,430000.0
269243.76210526313,471609.0068061618,4.0,2.0,1313.0,0.0301423324150596,31.22486,-85.25838,64900.0
269243.76210526313,482668.22712701664,3.0,3.0,1556.0,0.65,33.0,-87.0,149900.0
269243.76210526313,383724.11564197246,4.0,2.0,1511.0,0.39,34.78267,-86.58862,180000.0
269243.76210526313,505283.3868140109,3.0,3.0,2149.0,0.5,34.300037,-86.39073,139900.0
269243.76210526313,514557.8141933874,4.0,3.0,2100.0,0.37,32.68981,-85.17476,395000.0
269243.76210526313,437656.2329929074,4.0,3.0,2106.0,0.36,32.63288,-85.48234,369900.0
269243.76210526313,248876.69913145585,3.0,1.0,1217.0,0.1883,30.71445,-88.135284,149000.0
269243.76210526313,308336.31624912564,3.0,2.0,1418.0,0.17,33.501514,-86.89199,140000.0
269243.76210526313,479748.6711816891,4.0,2.0,2520.0,0.9141,30.761631,-88.292496,299319.0
269243.76210526313,488536.11932078784,3.0,2.0,1712.0,1.0,34.356606,-86.522484,195000.0
269243.76210526313,505283.3868140109,2.0,1.0,925.0,0.21,34.42224,-86.25966,154990.0
269243.76210526313,494836.90093641146,4.0,2.0,2002.0,0.44,32.232662,-84.973465,270000.0
269243.76210526313,526986.1122449696,4.0,2.0,1856.0,0.1433,30.302923,-87.69361,382900.0
269243.76210526313,485270.3966142766,3.0,2.0,1152.0,2.15,32.878918,-86.56741,169900.0
269243.76210526313,475935.50133235625,3.0,2.0,1902.0,0.3299999999999999,31.264801,-85.72387,180000.0
269243.76210526313,466615.910526863,3.0,2.0,1696.0,0.5,33.654697,-85.90091,49950.0
269243.76210526313,476693.8739552286,3.0,2.0,1760.0,3.0,32.981297,-86.03913,139000.0
269243.76210526313,466196.9331227924,3.0,2.0,2000.0,0.24,32.444508,-86.47387,224900.0
269243.76210526313,383724.11564197246,4.0,2.0,2289.0,0.51,34.777668,-86.48719,350000.0
269243.76210526313,484732.004560359,3.0,3.0,1400.0,0.5,34.81635,-87.262695,184900.0
269243.76210526313,476693.8739552286,3.0,2.0,1760.0,3.0,32.981277,-86.039116,139900.0
269243.76210526313,506576.26108276006,5.0,4.0,2600.0,0.665,30.678589,-87.90917,375000.0
269243.76210526313,485103.9545109343,3.0,1.0,1187.0,4.0,33.787724,-88.165764,80000.0
269243.76210526313,514557.8141933874,3.0,2.0,2925.0,6.0,32.512672,-87.71695,395000.0
269243.76210526313,491330.5394190152,4.0,3.0,2541.0,2.3,30.790745,-88.30819,300000.0
269243.76210526313,499192.00337111735,5.0,3.0,2370.0,10.0,32.91567,-86.69866,276900.0
269243.76210526313,483068.283783245,3.0,2.0,2349.0,0.53,34.191113,-86.81209,255000.0
269243.76210526313,248876.69913145585,3.0,2.0,1232.0,0.3775,30.62828,-88.35601,192500.0
269243.76210526313,470606.4496869743,4.0,2.0,1344.0,0.93,31.65619,-85.10319,154900.0
269243.76210526313,556173.0256189719,3.0,2.0,1908.0,3.07,30.494781,-87.73094,399500.0
269243.76210526313,481588.9300344136,4.0,3.0,2100.0,0.302,30.887451,-87.77709,239900.0
269243.76210526313,466615.910526863,3.0,2.0,1016.0,0.5,33.688515,-85.862495,160000.0
269243.76210526313,488329.80074086797,4.0,3.0,2400.0,2.3,30.559324,-88.4035,390410.0
269243.76210526313,494377.9898196864,4.0,2.0,1755.0,0.68,34.907852,-85.76508,239900.0
269243.76210526313,383724.11564197246,3.0,2.0,1457.0,0.21,34.61809,-86.54882,250000.0
269243.76210526313,452161.2903832776,3.0,2.0,1588.0,0.2388,30.37459,-87.69701,299900.0
269243.76210526313,501113.3395409724,4.0,3.0,2210.0,0.25,34.635723,-86.49413,389000.0
269243.76210526313,510654.55996249744,4.0,3.0,2797.0,10.0,31.106539,-85.629974,365000.0
269243.76210526313,471999.3322292508,4.0,2.0,2432.0,0.77,33.142124,-86.60367,67900.0
269243.76210526313,501113.3395409724,3.0,2.0,1480.0,0.2460973370064279,34.61587,-86.497795,300000.0
269243.76210526313,487932.25209875574,3.0,2.0,1828.0,0.4658,30.841074,-88.08948,198000.0
269243.76210526313,425479.17227466294,4.0,2.0,1932.0,0.2,34.75443,-86.88578,314900.0
269243.76210526313,501113.3395409724,3.0,2.0,1654.0,1.65,34.61488,-86.45121,299900.0
269243.76210526313,526986.1122449696,3.0,2.0,1305.0,0.351,30.275293,-87.68028,329900.0
269243.76210526313,246603.95267041298,2.0,3.0,1320.0,0.2092460606060606,32.35384,-86.20596,134000.0
269243.76210526313,508110.6160492565,3.0,2.0,1586.0,0.37,34.67045,-86.05488,249900.0
